# file...... testpowermeas.csv
# date...... Fri Sep  1 10:22:00 2017
# user...... stephant
# host...... (null)
# target.... meter 76
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,measured_power.real,measured_power.imag
2010-01-01 12:00:00.000000 PST,+9823222.47531,+3697895.38976
2010-01-01 12:00:00.010000 PST,+9823234.38344,+3697915.56719
2010-01-01 12:00:00.020000 PST,+9823235.62637,+3697918.46752
2010-01-01 12:00:00.030000 PST,+9823237.38294,+3697923.39291
2010-01-01 12:00:00.040000 PST,+9823238.85402,+3697927.83974
2010-01-01 12:00:00.050000 PST,+9823239.86739,+3697931.07961
2010-01-01 12:00:00.060000 PST,+9823240.43465,+3697933.02958
2010-01-01 12:00:00.070000 PST,+9823240.64811,+3697933.90531
2010-01-01 12:00:00.080000 PST,+9823240.62194,+3697934.02093
2010-01-01 12:00:00.090000 PST,+9823240.46111,+3697933.68405
2010-01-01 12:00:00.100000 PST,+9823240.24722,+3697933.14389
2010-01-01 12:00:00.110000 PST,+9823240.03594,+3697932.57621
2010-01-01 12:00:00.120000 PST,+9823239.85886,+3697932.08727
2010-01-01 12:00:00.130000 PST,+9823239.7291,+3697931.72621
2010-01-01 12:00:00.140000 PST,+9823239.64714,+3697931.50218
2010-01-01 12:00:00.150000 PST,+9823239.60616,+3697931.40005
2010-01-01 12:00:00.160000 PST,+9823239.59594,+3697931.39301
2010-01-01 12:00:00.170000 PST,+9823239.60634,+3697931.45112
2010-01-01 12:00:00.180000 PST,+9823239.62791,+3697931.54764
2010-01-01 12:00:00.190000 PST,+9823239.65406,+3697931.66158
2010-01-01 12:00:00.200000 PST,+9823239.68013,+3697931.77774
2010-01-01 12:00:00.210000 PST,+9823239.70353,+3697931.88794
2010-01-01 12:00:00.220000 PST,+9823239.72307,+3697931.98791
2010-01-01 12:00:00.230000 PST,+9823239.73879,+3697932.07679
2010-01-01 12:00:00.240000 PST,+9823239.75119,+3697932.1556
2010-01-01 12:00:00.250000 PST,+9823239.7611,+3697932.22678
2010-01-01 12:00:00.260000 PST,+9823239.76924,+3697932.29204
2010-01-01 12:00:00.270000 PST,+9823239.77642,+3697932.35465
2010-01-01 12:00:00.280000 PST,+9823239.78332,+3697932.4154
2010-01-01 12:00:00.290000 PST,+9823239.79017,+3697932.47598
2010-01-01 12:00:00.300000 PST,+9823239.79718,+3697932.53696
2010-01-01 12:00:00.310000 PST,+9823239.8045,+3697932.59859
2010-01-01 12:00:00.320000 PST,+9823239.81228,+3697932.6609
2010-01-01 12:00:00.330000 PST,+9823239.82022,+3697932.72387
2010-01-01 12:00:00.340000 PST,+9823239.82828,+3697932.78717
2010-01-01 12:00:00.350000 PST,+9823239.83645,+3697932.85085
2010-01-01 12:00:00.360000 PST,+9823239.8447,+3697932.91445
2010-01-01 12:00:00.370000 PST,+9823239.85294,+3697932.97792
2010-01-01 12:00:00.380000 PST,+9823239.86132,+3697933.04119
2010-01-01 12:00:00.390000 PST,+9823239.86946,+3697933.10419
2010-01-01 12:00:00.400000 PST,+9823239.87758,+3697933.16681
2010-01-01 12:00:00.410000 PST,+9823239.88565,+3697933.22883
2010-01-01 12:00:00.420000 PST,+9823239.89377,+3697933.29081
2010-01-01 12:00:00.430000 PST,+9823239.90168,+3697933.35208
2010-01-01 12:00:00.440000 PST,+9823239.90954,+3697933.41314
2010-01-01 12:00:00.450000 PST,+9823239.91736,+3697933.47365
2010-01-01 12:00:00.460000 PST,+9823239.92518,+3697933.53392
2010-01-01 12:00:00.470000 PST,+9823239.93295,+3697933.59365
2010-01-01 12:00:00.480000 PST,+9823239.94059,+3697933.6528
2010-01-01 12:00:00.490000 PST,+9823239.94824,+3697933.71179
2010-01-01 12:00:00.500000 PST,+9823239.95582,+3697933.77036
2010-01-01 12:00:00.510000 PST,+9823239.96333,+3697933.8282
2010-01-01 12:00:00.520000 PST,+9823239.9708,+3697933.8857
2010-01-01 12:00:00.530000 PST,+9823239.97828,+3697933.94269
2010-01-01 12:00:00.540000 PST,+9823239.98555,+3697933.9992
2010-01-01 12:00:00.550000 PST,+9823239.99274,+3697934.0549
2010-01-01 12:00:00.560000 PST,+9823240.00014,+3697934.11038
2010-01-01 12:00:00.570000 PST,+9823240.00714,+3697934.16516
2010-01-01 12:00:00.580000 PST,+9823240.01426,+3697934.21946
2010-01-01 12:00:00.590000 PST,+9823240.0212,+3697934.27296
2010-01-01 12:00:00.600000 PST,+9823240.02812,+3697934.32598
2010-01-01 12:00:00.610000 PST,+9823240.03499,+3697934.3784
2010-01-01 12:00:00.620000 PST,+9823240.0418,+3697934.43009
2010-01-01 12:00:00.630000 PST,+9823240.04838,+3697934.48133
2010-01-01 12:00:00.640000 PST,+9823240.05499,+3697934.53174
2010-01-01 12:00:00.650000 PST,+9823240.06147,+3697934.58155
2010-01-01 12:00:00.660000 PST,+9823240.06802,+3697934.6309
2010-01-01 12:00:00.670000 PST,+9823240.0744,+3697934.67925
2010-01-01 12:00:00.680000 PST,+9823240.08051,+3697934.72715
2010-01-01 12:00:00.690000 PST,+9823240.08664,+3697934.77421
2010-01-01 12:00:00.700000 PST,+9823240.09282,+3697934.82084
2010-01-01 12:00:00.710000 PST,+9823240.09886,+3697934.86652
2010-01-01 12:00:00.720000 PST,+9823240.1046,+3697934.9116
2010-01-01 12:00:00.730000 PST,+9823240.11045,+3697934.95598
2010-01-01 12:00:00.740000 PST,+9823240.11617,+3697934.99943
2010-01-01 12:00:00.750000 PST,+9823240.1217,+3697935.04247
2010-01-01 12:00:00.760000 PST,+9823240.12719,+3697935.08448
2010-01-01 12:00:00.770000 PST,+9823240.13263,+3697935.12598
2010-01-01 12:00:00.780000 PST,+9823240.13813,+3697935.16669
2010-01-01 12:00:00.790000 PST,+9823240.14325,+3697935.20674
